"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"533",82.169998,83.82,81.050003,83.660004,469302200,67.586266
"534",83.550003,84.239998,82.739998,82.760002,293998400,66.859192
"535",80.160004,82.959999,79.169998,79.220001,478910100,63.99934
"536",79.790001,79.940002,78.279999,79.029999,362964800,63.84586
"537",79.839996,80.150002,78.019997,78.18,316867500,63.15918
"538",76.730003,78.339996,75.769997,77.419998,477176600,62.545208
"539",78.269997,78.269997,74.589996,74.650002,379641400,60.307392
"540",75.290001,77.949997,74.699997,77.480003,426260900,62.593651
"541",77.139999,78.419998,75.629997,76.870003,461985800,62.100872
"542",77.82,79.669998,75.529999,75.620003,363353900,61.091019
"543",74.010002,75.690002,73.809998,73.93,470510900,59.72575
"544",72.519997,73.919998,70.370003,70.599998,426452600,57.035534
"545",71.610001,71.699997,69.639999,70.07,443761000,56.607353
"546",71.230003,72.870003,70.07,71.730003,462753100,57.94841
"547",70.099998,71.730003,68.169998,68.800003,485549400,55.58139
"548",69.400002,70.449997,67.099998,68.919998,490470000,55.678291
"549",67.949997,70,67.730003,68.110001,379905300,55.023937
"550",69.510002,72.370003,69.370003,72.169998,406227900,58.303886
"551",73,73.75,71.830002,72.639999,356648300,58.683582
"552",72.620003,75.75,71.970001,75.5,409702700,60.994102
"553",76.010002,76.980003,74.730003,76.089996,337474700,61.470722
"554",76.959999,77.970001,75.809998,75.860001,360644900,61.284946
"555",76.07,78.360001,75.449997,78.18,356814300,63.15918
"556",77.809998,80.900002,77.07,79.93,473273200,64.572952
"557",80.93,81,78.690002,78.940002,428520400,63.773136
"558",78.760002,78.910004,76.529999,76.709999,371078200,62.415154
"559",78.739998,82.290001,78.309998,82.220001,419933300,66.898392
"560",81.239998,82.360001,80.510002,80.599998,330271000,65.580276
"561",81.230003,82.699997,79.059998,81.449997,441775100,66.271873
"562",82.25,83.300003,81.32,83.110001,422025200,67.622528
"563",82.050003,82.529999,81.309998,81.610001,322332300,66.402054
"564",79.800003,79.870003,77.959999,78.790001,324108500,64.107567
"565",79.559998,81.080002,79.050003,79.519997,364238300,64.7015
"566",78.529999,81.419998,78.330002,81.059998,377018300,65.954559
"567",83.080002,84.610001,81.129997,83.43,476230700,67.882904
"568",83.489998,84.279999,82.669998,84.260002,284646300,68.558243
"569",83.339996,84.279999,82.290001,83.599998,264866600,68.02121
"570",82.25,82.650002,81.510002,81.650002,258947800,66.434601
"571",82.059998,82.940002,81.540001,82.529999,230402800,67.150597
"572",84.669998,85.82,84.330002,85.809998,269653500,69.819382
"573",84.919998,86.540001,84.580002,85.830002,224847500,69.83567
"574",85.029999,85.760002,84.080002,84.349998,276598800,68.631447
"575",83.839996,85.419998,83.610001,85.25,250726100,69.363739
"576",85.93,87.150002,84.769997,86.5,335202900,70.380821
"577",86.830002,87.650002,86.139999,87.080002,262649000,70.852722
"578",85.540001,87.050003,83.339996,83.43,293690100,67.882904
"579",82.82,85.129997,82.75,85.059998,114090900,69.209137
"580",84.290001,86.339996,84.07,84.540001,340395200,68.786064
"581",84.709999,85.419998,83.629997,85.370003,324903700,69.461395
"582",86.029999,87.309998,85.690002,86.660004,287703000,70.510986
"583",85.68,87.010002,85.540001,85.839996,289581600,69.843803
"584",84.970001,86.589996,84.760002,85.57,247926300,69.624092
"585",86.519997,88.360001,86.300003,87.389999,311505700,71.10495
"586",88.550003,89.019997,86.919998,87.419998,301419800,71.129372
"587",87.440002,88.209999,86.720001,87.889999,236110300,71.51178
"588",88.550003,90.940002,88.379997,90.879997,287120000,73.944595
"589",90.57,90.93,89.839996,90.57,243036300,73.692375
"590",91.68,92.199997,90.610001,92.139999,291941000,74.969803
"591",93.010002,93.150002,90.279999,90.860001,317728000,73.928352
"592",92.029999,93.220001,91.440002,92.980003,299081700,75.653267
"593",91.699997,92.110001,91.040001,91.239998,247923600,74.237488
"594",91.629997,91.830002,89.849998,90.970001,282431300,74.01783
"595",89.739998,90.010002,88.5,88.68,269619100,72.154572
"596",88.720001,90.120003,88.5,89.440002,260098700,72.772949
"597",89.370003,90,88.150002,88.709999,271502700,72.178986
"598",89.550003,91.339996,88.57,91.230003,241447400,74.229385
"599",91.18,91.970001,90.809998,91.120003,206102200,74.139877
"600",91.949997,92.800003,90.410004,90.510002,285722200,73.643547
"601",89.459999,89.800003,88.260002,89.209999,258988400,72.585785
"602",89.459999,90,88.68,89.019997,166811900,72.431221
"603",88.360001,91.559998,88.32,91.300003,236318500,74.286339
"604",91.440002,91.75,89.529999,89.669998,246015800,72.960083
"605",90.459999,91.339996,89.099998,90.919998,289095000,73.97715
"606",91.419998,93.699997,90.68,92.529999,258641500,75.28714
"607",93.669998,95.169998,93.43,94.769997,276246800,77.109703
"608",94.400002,95.370003,94.230003,94.849998,230874500,77.174805
"609",94.040001,94.129997,92.760002,93.650002,235310500,76.198425
"610",94,94.669998,93.300003,94.529999,210102300,76.914413
"611",95.489998,95.669998,93.800003,94.550003,284257900,76.930702
"612",93.839996,95.099998,93.040001,94.160004,238565100,76.613365
"613",94.690002,95.139999,94.019997,94.639999,225125500,77.003914
"614",95.480003,95.489998,93.190002,94.400002,296100400,76.808655
"615",94.580002,96.110001,94.559998,94.82,275414200,77.150383
"616",94.400002,95.139999,94,95.080002,184361800,77.361938
"617",93.959999,94.019997,92.400002,92.900002,224190500,75.588181
"618",93.230003,93.290001,91.580002,91.639999,227319000,74.562988
"619",91.599998,92.330002,90.830002,91.550003,223445200,74.489723
"620",91.690002,92.669998,91.25,92.220001,211725100,75.034889
"621",92.580002,92.699997,91.519997,92.040001,215655600,75.311447
"622",91.139999,91.190002,89.25,89.279999,251913600,73.053123
"623",89.470001,89.879997,88.849998,89.349998,188309800,73.110367
"624",90.160004,91.080002,89.599998,90.120003,211577700,73.740448
"625",89.669998,92.169998,89.57,92.080002,279411000,75.34417
"626",91.769997,92.239998,91.269997,91.839996,167579000,75.147812
"627",92.110001,92.82,91.599998,92.699997,168481300,75.851501
"628",92.720001,93.059998,91.269997,91.949997,228888200,75.237823
"629",92.339996,93.230003,92.209999,92.330002,173041100,75.548752
"630",91.129997,92.360001,89.760002,89.809998,212309900,73.486771
"631",88.940002,89.93,88.660004,89.800003,174499600,73.478622
"632",89.709999,89.82,88,88.059998,197088900,72.054832
"633",88.589996,88.800003,87,88,248050500,72.005745
"634",88.610001,88.900002,87.910004,88.169998,163777600,72.144852
"635",87.699997,88.489998,87.349998,87.959999,173520300,71.973015
"636",88.309998,90.169998,87.589996,90.099998,217413500,73.724083
"637",90.379997,90.690002,89.730003,90.610001,181487400,74.141373
"638",91.809998,93.510002,90.68,93.260002,220877900,76.309731
"639",93,94.510002,92.82,93.110001,231174500,76.186996
"640",94.059998,94.32,93.540001,94.129997,138561700,77.021568
"641",94.68,95.290001,94.190002,95.129997,164179400,77.839844
